Visitor/Neutral,Visitor Points,Home/Neutral,Home Points,id,year,win,team,season_id,margin,playoff,correct,cteams
HOU,103,UTA,90,199804230UTA,1998,0,UTA,UTA-1998,-13,TRUE,TRUE,TRUE
NJN,93,CHI,96,199804240CHI,1998,1,CHI,CHI-1998,3,TRUE,TRUE,TRUE
HOU,90,UTA,105,199804250UTA,1998,1,UTA,UTA-1998,15,TRUE,TRUE,TRUE
NJN,91,CHI,96,199804260CHI,1998,1,CHI,CHI-1998,5,TRUE,TRUE,TRUE
UTA,85,HOU,89,199804290HOU,1998,1,HOU,HOU-1998,4,TRUE,TRUE,TRUE
CHI,116,NJN,101,199804290NJN,1998,0,NJN,NJN-1998,-15,TRUE,TRUE,TRUE
UTA,93,HOU,71,199805010HOU,1998,0,HOU,HOU-1998,-22,TRUE,TRUE,TRUE
CHH,70,CHI,83,199805030CHI,1998,1,CHI,CHI-1998,13,TRUE,TRUE,TRUE
HOU,70,UTA,84,199805030UTA,1998,1,UTA,UTA-1998,14,TRUE,TRUE,TRUE
SAS,82,UTA,83,199805050UTA,1998,1,UTA,UTA-1998,1,TRUE,TRUE,TRUE
CHH,78,CHI,76,199805060CHI,1998,0,CHI,CHI-1998,-2,TRUE,TRUE,TRUE
SAS,106,UTA,109,199805070UTA,1998,1,UTA,UTA-1998,3,TRUE,TRUE,TRUE
CHI,103,CHH,89,199805080CHH,1998,0,CHH,CHH-1998,-14,TRUE,TRUE,TRUE
UTA,64,SAS,86,199805090SAS,1998,1,SAS,SAS-1998,22,TRUE,TRUE,TRUE
UTA,82,SAS,73,199805100SAS,1998,0,SAS,SAS-1998,-9,TRUE,TRUE,TRUE
CHI,94,CHH,80,199805100CHH,1998,0,CHH,CHH-1998,-14,TRUE,TRUE,TRUE
SAS,77,UTA,87,199805120UTA,1998,1,UTA,UTA-1998,10,TRUE,TRUE,TRUE
CHH,84,CHI,93,199805130CHI,1998,1,CHI,CHI-1998,9,TRUE,TRUE,TRUE
LAL,77,UTA,112,199805160UTA,1998,1,UTA,UTA-1998,35,TRUE,TRUE,TRUE
IND,79,CHI,85,199805170CHI,1998,1,CHI,CHI-1998,6,TRUE,TRUE,TRUE
LAL,95,UTA,99,199805180UTA,1998,1,UTA,UTA-1998,4,TRUE,TRUE,TRUE
IND,98,CHI,104,199805190CHI,1998,1,CHI,CHI-1998,6,TRUE,TRUE,TRUE
UTA,109,LAL,98,199805220LAL,1998,0,LAL,LAL-1998,-11,TRUE,TRUE,TRUE
CHI,105,IND,107,199805230IND,1998,1,IND,IND-1998,2,TRUE,TRUE,TRUE
