Visitor/Neutral,Visitor Points,Home/Neutral,Home Points,id,year,win,team,season_id,margin,playoff,correct,cteams
DET,122,MIA,128,199911020MIA,2000,1,MIA,MIA-2000,6,FALSE,TRUE,TRUE
PHI,76,SAS,89,199911020SAS,2000,1,SAS,SAS-2000,13,FALSE,TRUE,TRUE
BOS,103,TOR,90,199911020TOR,2000,0,TOR,TOR-2000,-13,FALSE,TRUE,TRUE
LAL,91,UTA,84,199911020UTA,2000,0,UTA,UTA-2000,-7,FALSE,TRUE,TRUE
WAS,101,BOS,112,199911030BOS,2000,1,BOS,BOS-2000,11,FALSE,TRUE,TRUE
VAN,88,LAL,103,199911030LAL,2000,1,LAL,LAL-2000,15,FALSE,TRUE,TRUE
DET,94,ORL,103,199911030ORL,2000,1,ORL,ORL-2000,9,FALSE,TRUE,TRUE
GSW,81,SAS,104,199911040SAS,2000,1,SAS,SAS-2000,23,FALSE,TRUE,TRUE
CHH,100,BOS,103,199911050BOS,2000,1,BOS,BOS-2000,3,FALSE,TRUE,TRUE
NYK,103,DET,91,199911050DET,2000,0,DET,DET-2000,-12,FALSE,TRUE,TRUE
SAS,95,HOU,85,199911050HOU,2000,0,HOU,HOU-2000,-10,FALSE,TRUE,TRUE
BOS,108,IND,115,199911060IND,2000,1,IND,IND-2000,7,FALSE,TRUE,TRUE
DET,111,MIL,121,199911060MIL,2000,1,MIL,MIL-2000,10,FALSE,TRUE,TRUE
LAL,82,POR,97,199911060POR,2000,1,POR,POR-2000,15,FALSE,TRUE,TRUE
DAL,97,LAL,105,199911070LAL,2000,1,LAL,LAL-2000,8,FALSE,TRUE,TRUE
SAS,74,PHO,77,199911070PHO,2000,1,PHO,PHO-2000,3,FALSE,TRUE,TRUE
LAL,123,DAL,101,199911090DAL,2000,0,DAL,DAL-2000,-22,FALSE,TRUE,TRUE
SAS,118,GSW,89,199911090GSW,2000,0,GSW,GSW-2000,-29,FALSE,TRUE,TRUE
DET,110,BOS,92,199911100BOS,2000,0,BOS,BOS-2000,-18,FALSE,TRUE,TRUE
LAL,89,HOU,88,199911100HOU,2000,0,HOU,HOU-2000,-1,FALSE,TRUE,TRUE
SAS,99,LAC,94,199911100LAC,2000,0,LAC,LAC-2000,-5,FALSE,TRUE,TRUE
TOR,123,DET,106,199911110DET,2000,0,DET,DET-2000,-17,FALSE,TRUE,TRUE
NYK,74,BOS,80,199911120BOS,2000,1,BOS,BOS-2000,6,FALSE,TRUE,TRUE
HOU,97,LAL,81,199911120LAL,2000,0,LAL,LAL-2000,-16,FALSE,TRUE,TRUE
BOS,91,CHI,92,199911130CHI,2000,1,CHI,CHI-2000,1,FALSE,TRUE,TRUE
SEA,99,DET,107,199911130DET,2000,1,DET,DET-2000,8,FALSE,TRUE,TRUE
CHH,79,SAS,95,199911130SAS,2000,1,SAS,SAS-2000,16,FALSE,TRUE,TRUE
ATL,88,LAL,93,199911140LAL,2000,1,LAL,LAL-2000,5,FALSE,TRUE,TRUE
LAL,91,PHO,82,199911150PHO,2000,0,PHO,PHO-2000,-9,FALSE,TRUE,TRUE
SAS,85,UTA,91,199911150UTA,2000,1,UTA,UTA-2000,6,FALSE,TRUE,TRUE
IND,87,SAS,90,199911160SAS,2000,1,SAS,SAS-2000,3,FALSE,TRUE,TRUE
DET,85,TOR,89,199911160TOR,2000,1,TOR,TOR-2000,4,FALSE,TRUE,TRUE
CLE,103,BOS,114,199911170BOS,2000,1,BOS,BOS-2000,11,FALSE,TRUE,TRUE
NJN,107,DET,109,199911170DET,2000,1,DET,DET-2000,2,FALSE,TRUE,TRUE
LAL,82,DEN,93,199911180DEN,2000,1,DEN,DEN-2000,11,FALSE,TRUE,TRUE
SAS,88,MIL,99,199911180MIL,2000,1,MIL,MIL-2000,11,FALSE,TRUE,TRUE
NJN,96,BOS,109,199911190BOS,2000,1,BOS,BOS-2000,13,FALSE,TRUE,TRUE
CLE,90,DET,101,199911190DET,2000,1,DET,DET-2000,11,FALSE,TRUE,TRUE
CHI,95,LAL,103,199911190LAL,2000,1,LAL,LAL-2000,8,FALSE,TRUE,TRUE
BOS,92,MIA,110,199911200MIA,2000,1,MIA,MIA-2000,18,FALSE,TRUE,TRUE
DAL,90,SAS,106,199911200SAS,2000,1,SAS,SAS-2000,16,FALSE,TRUE,TRUE
MIL,94,DET,113,199911210DET,2000,1,DET,DET-2000,19,FALSE,TRUE,TRUE
TOR,111,LAL,102,199911210LAL,2000,0,LAL,LAL-2000,-9,FALSE,TRUE,TRUE
IND,85,BOS,95,199911220BOS,2000,1,BOS,BOS-2000,10,FALSE,TRUE,TRUE
SAS,94,PHI,91,199911220PHI,2000,0,PHI,PHI-2000,-3,FALSE,TRUE,TRUE
SAS,121,BOS,98,199911240BOS,2000,0,BOS,BOS-2000,-23,FALSE,TRUE,TRUE
UTA,82,LAL,90,199911240LAL,2000,1,LAL,LAL-2000,8,FALSE,TRUE,TRUE
DET,107,IND,99,199911250IND,2000,0,IND,IND-2000,-8,FALSE,TRUE,TRUE
MIL,114,BOS,112,199911260BOS,2000,0,BOS,BOS-2000,-2,FALSE,TRUE,TRUE
ATL,91,DET,93,199911260DET,2000,1,DET,DET-2000,2,FALSE,TRUE,TRUE
NJN,80,LAL,103,199911260LAL,2000,1,LAL,LAL-2000,23,FALSE,TRUE,TRUE
CHI,78,SAS,101,199911260SAS,2000,1,SAS,SAS-2000,23,FALSE,TRUE,TRUE
BOS,84,ATL,94,199911270ATL,2000,1,ATL,ATL-2000,10,FALSE,TRUE,TRUE
DEN,87,SAS,106,199911270SAS,2000,1,SAS,SAS-2000,19,FALSE,TRUE,TRUE
ORL,108,DET,99,199911280DET,2000,0,DET,DET-2000,-9,FALSE,TRUE,TRUE
