"","VORP","time"
"1",2.38648648648649,"post"
"2",-8.01351351351351,"post"
"3",3.08648648648649,"post"
"4",2.58648648648649,"post"
"5",2.38648648648649,"post"
"6",-8.01351351351351,"post"
"7",3.08648648648649,"post"
"8",2.58648648648649,"post"
"9",2.38648648648649,"post"
"10",-8.01351351351351,"post"
"11",3.08648648648649,"post"
"12",2.58648648648649,"post"
"13",2.38648648648649,"post"
"14",-8.01351351351351,"post"
"15",3.08648648648649,"post"
"16",2.58648648648649,"post"
"17",2.38648648648649,"post"
"18",-8.01351351351351,"post"
"19",3.08648648648649,"post"
"20",2.58648648648649,"post"
"21",-3.01702127659574,"post"
"22",2.68297872340426,"post"
"23",-1.01702127659574,"post"
"24",-3.21702127659574,"post"
"25",-4.41702127659574,"post"
"26",-3.01702127659574,"post"
"27",2.68297872340426,"post"
"28",-1.01702127659574,"post"
"29",-3.21702127659574,"post"
"30",-4.41702127659574,"post"
"31",-3.01702127659574,"post"
"32",2.68297872340426,"post"
"33",-1.01702127659574,"post"
"34",-3.21702127659574,"post"
"35",-4.41702127659574,"post"
"36",-3.01702127659574,"post"
"37",2.68297872340426,"post"
"38",-1.01702127659574,"post"
"39",-3.21702127659574,"post"
"40",-4.41702127659574,"post"
"41",0.324468085106383,"post"
"42",8.62446808510638,"post"
"43",-2.07553191489362,"post"
"44",-1.17553191489362,"post"
"45",3.02446808510638,"post"
"46",-13.6755319148936,"post"
"47",-0.275531914893617,"post"
"48",2.32446808510638,"post"
"49",5.42446808510638,"post"
"50",-2.07553191489362,"post"
"51",2.22446808510638,"post"
"52",0.324468085106383,"post"
"53",8.62446808510638,"post"
"54",-2.07553191489362,"post"
"55",-1.17553191489362,"post"
"56",3.02446808510638,"post"
"57",-13.6755319148936,"post"
"58",-0.275531914893617,"post"
"59",2.32446808510638,"post"
"60",5.42446808510638,"post"
"61",-2.6,"post"
"62",12.6,"post"
"63",4.1,"post"
"64",-2.6,"post"
"65",12.6,"post"
"66",4.1,"post"
"67",-2.6,"post"
"68",12.6,"post"
"69",4.1,"post"
"70",-2.6,"post"
"71",12.6,"post"
"72",4.1,"post"
"73",-2.6,"post"
"74",12.6,"post"
"75",4.1,"post"
"76",-2.6,"post"
"77",12.6,"post"
"78",4.1,"post"
"79",-2.6,"post"
"80",12.6,"post"
"81",-0.665957446808511,"post"
"82",1.23404255319149,"post"
"83",3.43404255319149,"post"
"84",1.73404255319149,"post"
"85",10.8340425531915,"post"
"86",-0.665957446808511,"post"
"87",1.23404255319149,"post"
"88",3.43404255319149,"post"
"89",1.73404255319149,"post"
"90",10.8340425531915,"post"
"91",-0.665957446808511,"post"
"92",1.23404255319149,"post"
"93",3.43404255319149,"post"
"94",1.73404255319149,"post"
"95",10.8340425531915,"post"
"96",-0.665957446808511,"post"
"97",1.23404255319149,"post"
"98",3.43404255319149,"post"
"99",1.73404255319149,"post"
"100",10.8340425531915,"post"
"101",7.08108108108108,"post"
"102",5.48108108108108,"post"
"103",5.88108108108108,"post"
"104",1.58108108108108,"post"
"105",4.78108108108108,"post"
"106",2.58108108108108,"post"
"107",-0.518918918918919,"post"
"108",10.8810810810811,"post"
"109",2.08108108108108,"post"
"110",7.08108108108108,"post"
"111",5.48108108108108,"post"
"112",5.88108108108108,"post"
"113",1.58108108108108,"post"
"114",4.78108108108108,"post"
"115",2.58108108108108,"post"
"116",-0.518918918918919,"post"
"117",10.8810810810811,"post"
"118",2.08108108108108,"post"
"119",7.08108108108108,"post"
"120",5.48108108108108,"post"
"121",6.40075187969925,"post"
"122",4.70075187969925,"post"
"123",6.50075187969925,"post"
"124",8.20075187969925,"post"
"125",7.90075187969925,"post"
"126",8.80075187969925,"post"
"127",16.9007518796992,"post"
"128",3.60075187969925,"post"
