"","player","VORP","time","year"
"1","jordami01",21.7,"reg",1990
"2","jordami01",8.9,"reg",1990
"3","jordami01",10.1,"reg",1990
"4","jordami01",5.5,"reg",1990
"5","jordami01",8.8,"reg",1990
"6","jordami01",16.7,"reg",1990
"7","jordami01",9.1,"reg",1990
"8","jordami01",18.6,"reg",1990
"9","jordami01",15.8,"reg",1990
"10","jordami01",7.2,"reg",1990
"11","jordami01",9.1,"reg",1990
"12","jordami01",11.6,"reg",1990
"13","jordami01",5.3,"reg",1990
"14","jordami01",9.9,"reg",1990
"15","jordami01",12.2,"reg",1990
"16","jordami01",17.9,"reg",1990
"17","jordami01",21.9,"reg",1990
"18","jordami01",0,"reg",1990
"19","jordami01",13,"reg",1990
"20","jordami01",1.9,"reg",1990
"21","jordami01",4.7,"reg",1990
"22","jordami01",6.5,"reg",1990
"23","jordami01",7.2,"reg",1990
"24","jordami01",14.1,"reg",1990
"25","jordami01",10.7,"reg",1990
"26","jordami01",18.2,"reg",1990
"27","jordami01",17.4,"reg",1990
"28","jordami01",5,"reg",1990
"29","jordami01",14.3,"reg",1990
"30","jordami01",2.5,"reg",1990
"31","jordami01",16.8,"reg",1990
"32","jordami01",17.6,"reg",1990
"33","jordami01",13.3,"reg",1990
"34","jordami01",22.9,"reg",1990
"35","jordami01",17.9,"reg",1990
"36","jordami01",10.4,"reg",1990
"37","jordami01",14.4,"reg",1990
"38","jordami01",9.5,"reg",1990
"39","jordami01",17.5,"reg",1990
"40","jordami01",9.2,"reg",1990
"41","jordami01",10.5,"reg",1990
"42","jordami01",20.3,"reg",1990
"43","jordami01",2.5,"reg",1990
"44","jordami01",9.6,"reg",1990
"45","jordami01",10.2,"reg",1990
"46","jordami01",9.7,"reg",1990
"47","jordami01",0.2,"reg",1990
"48","jordami01",12.3,"reg",1990
"49","jordami01",11.7,"reg",1990
"50","jordami01",4.7,"reg",1990
"51","jordami01",9.4,"reg",1990
"52","jordami01",14.4,"reg",1990
"53","jordami01",16.5,"reg",1990
"54","jordami01",5.1,"reg",1990
"55","jordami01",0.4,"reg",1990
"56","jordami01",12.5,"reg",1990
"57","jordami01",17.6,"reg",1990
"58","jordami01",9.9,"reg",1990
"59","jordami01",3.6,"reg",1990
"60","jordami01",8,"reg",1990
"61","jordami01",13.5,"reg",1990
"62","jordami01",1.5,"reg",1990
"63","jordami01",13.5,"reg",1990
"64","jordami01",9.2,"reg",1990
"65","jordami01",5.6,"reg",1990
"66","jordami01",12.4,"reg",1990
"67","jordami01",-1,"reg",1990
"68","jordami01",-2.6,"reg",1990
"69","jordami01",6.3,"reg",1990
"70","jordami01",7.2,"reg",1990
"71","jordami01",14.9,"reg",1990
"72","jordami01",10.3,"reg",1990
"73","jordami01",13.6,"reg",1990
"74","jordami01",12.7,"reg",1990
"75","jordami01",10.7,"reg",1990
"76","jordami01",12.2,"reg",1990
"77","jordami01",31,"reg",1990
"78","jordami01",15.9,"reg",1990
"79","jordami01",1.2,"reg",1990
"80","jordami01",-1.5,"reg",1990
"81","jordami01",17.7,"reg",1990
"82","jordami01",1.4,"reg",1990
"83","jordami01",14.7,"reg",1991
"84","jordami01",11.2,"reg",1991
"85","jordami01",9,"reg",1991
"86","jordami01",11.8,"reg",1991
"87","jordami01",14,"reg",1991
"88","jordami01",1.8,"reg",1991
"89","jordami01",20.2,"reg",1991
"90","jordami01",6.8,"reg",1991
"91","jordami01",6.7,"reg",1991
"92","jordami01",16.9,"reg",1991
"93","jordami01",21,"reg",1991
"94","jordami01",10.6,"reg",1991
"95","jordami01",5.2,"reg",1991
"96","jordami01",16.7,"reg",1991
"97","jordami01",16.3,"reg",1991
"98","jordami01",9.6,"reg",1991
"99","jordami01",8.4,"reg",1991
"100","jordami01",16.2,"reg",1991
"101","jordami01",7.1,"reg",1991
"102","jordami01",14.4,"reg",1991
"103","jordami01",13.8,"reg",1991
"104","jordami01",5.3,"reg",1991
"105","jordami01",3.8,"reg",1991
"106","jordami01",11.7,"reg",1991
"107","jordami01",17.6,"reg",1991
"108","jordami01",6.9,"reg",1991
"109","jordami01",17.4,"reg",1991
"110","jordami01",11.8,"reg",1991
"111","jordami01",2.1,"reg",1991
"112","jordami01",9.4,"reg",1991
"113","jordami01",7.4,"reg",1991
"114","jordami01",6.2,"reg",1991
