"","player","year","RVORP","PVORP"
"1","pippesc01",1990,3.0280487804878,6.28666666666667
"2","pippesc01",1991,5.89146341463415,7.31764705882353
"3","pippesc01",1992,6.43780487804878,7.34090909090909
"4","pippesc01",1993,4.77901234567901,3.37368421052632
"5","pippesc01",1994,7.73194444444444,6.04
"6","pippesc01",1995,7.44936708860759,6.54
"7","pippesc01",1996,6.32207792207792,8.35555555555556
"8","pippesc01",1997,6.07682926829268,5.85789473684211
"9","pippesc01",1998,5.40454545454545,6.26666666666667
"10","jordami01",1990,10.6109756097561,13.75625
"11","jordami01",1991,10.7719512195122,13.9588235294118
"12","jordami01",1992,9.4275,10.3681818181818
"13","jordami01",1993,10.7615384615385,11.4684210526316
"14","jordami01",1995,5.07647058823529,8.58
"15","jordami01",1996,9.78414634146341,10.7111111111111
"16","jordami01",1997,8.60853658536585,10.4421052631579
"17","jordami01",1998,7.08414634146341,9.43333333333333
"18","grantho01",1990,2.205,3.35625
"19","grantho01",1991,3.17820512820513,3.4
"20","grantho01",1992,5.31481481481481,5.43181818181818
"21","grantho01",1993,2.78181818181818,3.74210526315789
"22","grantho01",1994,4.58428571428571,6.1
"23","cartwbi01",1990,-0.295774647887324,-2.2
"24","cartwbi01",1991,-0.370886075949367,0.523529411764706
"25","cartwbi01",1992,-0.565625,-0.263636363636364
"26","cartwbi01",1993,-1.17777777777778,0.857894736842105
"27","cartwbi01",1994,-0.233333333333333,-0.777777777777778
"28","paxsojo01",1990,0.324390243902439,-0.666666666666667
"29","paxsojo01",1991,1.09878048780488,0.694117647058824
"30","paxsojo01",1992,0.611392405063291,1.40454545454545
"31","paxsojo01",1993,-0.289830508474576,1.32631578947368
"32","paxsojo01",1994,0.0296296296296296,-0.0888888888888889
"33","armstbj01",1990,-0.265432098765432,-0.21875
"34","armstbj01",1991,0.686585365853658,2.15882352941176
"35","armstbj01",1992,0.681707317073171,0.572727272727273
"36","armstbj01",1993,1.39756097560976,1.93684210526316
"37","armstbj01",1994,1.32560975609756,2.6
"38","armstbj01",1995,1.91341463414634,2
"39","kingst01",1990,-0.436585365853659,-0.625
"40","kingst01",1991,-0.514473684210526,-1.71818181818182
"41","kingst01",1992,0.140506329113924,0.214285714285714
"42","kingst01",1993,-0.363157894736842,-0.521052631578947
"43","hodgecr01",1990,0.7,-0.9875
"44","hodgecr01",1991,0.0863013698630137,-0.423529411764706
"45","hodgecr01",1992,-0.233928571428571,-0.105882352941176
"46","perduwi01",1990,-1.11818181818182,0.284615384615385
"47","perduwi01",1991,-0.0594594594594594,-0.511764705882353
"48","perduwi01",1992,0.28961038961039,-0.4
"49","perduwi01",1993,0.209722222222222,-0.630769230769231
"50","perduwi01",1995,0.326923076923077,-0.72
"51","davisch02",1990,-0.915094339622642,-0.716666666666667
"52","nealyed01",1990,0.169565217391304,-0.166666666666667
"53","sandeje01",1990,-1.00322580645161,0.233333333333333
"54","levincl01",1991,-0.228205128205128,0.794117647058823
"55","levincl01",1992,0.50253164556962,-0.363636363636364
"56","hopsode01",1991,-0.478688524590164,-0.24
"57","willisc01",1991,-0.103921568627451,-0.175
"58","willisc01",1992,0.331746031746032,0.0181818181818183
"59","willisc01",1993,0.149295774647887,0.252631578947368
"60","willisc01",1994,-0.231578947368421,-0.29
"61","hansebo01",1992,-0.5,0.322222222222222
"62","mccraro01",1993,-0.7515625,-0.671428571428571
"63","tucketr01",1993,0.753623188405797,0.494736842105263
"64","walkeda01",1993,0.0357142857142857,-0.0333333333333333
"65","kukocto01",1994,1.512,3.56
"66","kukocto01",1995,4.17901234567901,5.04
"67","kukocto01",1996,4.00740740740741,2.69333333333333
"68","kukocto01",1997,4.11754385964912,2.51578947368421
"69","kukocto01",1998,3.29054054054054,4.44761904761905
"70","kerrst01",1994,1.45731707317073,-0.02
"71","kerrst01",1995,1.35487804878049,0.73
"72","kerrst01",1996,2.61707317073171,2.05555555555556
"73","kerrst01",1997,2.46707317073171,1.48947368421053
"74","kerrst01",1998,1.442,1.25714285714286
"75","myerspe01",1994,-0.11219512195122,0.83
"76","myerspe01",1995,-0.149295774647887,0.166666666666667
"77","englijo01",1994,-0.841666666666667,-0.271428571428571
"78","wennibi01",1994,-0.107894736842105,-0.342857142857143
"79","wennibi01",1995,-0.561643835616438,-1.46
"80","wennibi01",1996,-0.364788732394366,0.222222222222222
"81","wennibi01",1998,-0.83125,-0.38125
"82","longllu01",1994,0.748148148148148,0.17
"83","longllu01",1995,-0.583636363636364,-0.58
"84","longllu01",1996,0.22741935483871,-0.0333333333333334
"85","longllu01",1997,0.128813559322034,0.947368421052632
"86","longllu01",1998,0.693103448275862,0.422222222222222
"87","harpero01",1995,0.603896103896104,0.316666666666667
"88","harpero01",1996,2.27875,3.54444444444444
"89","harpero01",1997,2.25394736842105,4.42631578947368
"90","harpero01",1998,2.27439024390244,2.38095238095238
"91","blounco01",1995,-0.107352941176471,-0.775
"92","buechju01",1995,0.512280701754386,0.15
"93","buechju01",1996,0.778378378378378,0.517647058823529
"94","buechju01",1997,0.215789473684211,0.344444444444444
"95","buechju01",1998,0.801351351351351,0.35
"96","rodmade01",1996,1.3765625,1.91111111111111
"97","rodmade01",1997,1.82909090909091,-0.505263157894737
"98","rodmade01",1998,1.29125,0.180952380952381
"99","brownra02",1996,0.369117647058824,0.7125
"100","brownra02",1997,0.611111111111111,-0.370588235294118
"101","brownra02",1998,0.135211267605634,-0.607142857142857
"102","edwarja01",1996,-2.075,-0.75
"103","sallejo01",1996,-0.188235294117647,-0.275
"104","parisro01",1997,-0.146511627906977,-1.45
"105","caffeja01",1997,-0.176,0.317647058823529
"106","delebi01",1997,-0.933333333333333,0.484210526315789
"107","burresc01",1998,1.2875,0.823809523809524
"108","simpkdi01",1998,0.0476190476190476,-0.430769230769231
