"","player","team"
"1","jordami01","bulls"
"2","grantho01","bulls"
"3","davisch02","bulls"
"4","sandeje01","bulls"
"5","hopsode01","bulls"
"6","hansebo01","bulls"
"7","mccraro01","bulls"
"8","myerspe01","bulls"
"9","englijo01","bulls"
"10","edwarja01","bulls"
"11","caffeja01","bulls"
"12","delebi01","bulls"
"13","bucknqu01","celtics"
"14","wedmasc01","celtics"
"15","clarkca01","celtics"
"16","kitegr01","celtics"
"17","carliri01","celtics"
"18","dayeda01","celtics"
"19","henryco01","celtics"
"20","lohaubr01","celtics"
"21","lewisre01","celtics"
"22","gilmoar01","celtics"
"23","shawbr01","celtics"
"24","upshake01","celtics"
"25","brownke01","celtics"
"26","delkto01","celtics"
"27","rogerro01","celtics"
"28","longgr01","celtics"
"29","colesbi01","celtics"
"30","bryanma01","celtics"
"31","jeffeal01","celtics"
"32","perkike01","celtics"
"33","westde01","celtics"
"34","huntebr01","celtics"
"35","atkinch01","celtics"
"36","barroda01","celtics"
"37","rondora01","celtics"
"38","davisgl01","celtics"
"39","poseyja01","celtics"
"40","brownpj01","celtics"
"41","scalabr01","celtics"
"42","mooremi01","celtics"
"43","marbust01","celtics"
"44","hansebo01","jazz"
"45","griffda01","jazz"
"46","leckner01","jazz"
"47","ruddde01","jazz"
"48","johnser01","jazz"
"49","brownra01","jazz"
"50","toolsan01","jazz"
"51","brownto01","jazz"
"52","crowdco01","jazz"
"53","murdoer01","jazz"
"54","thornbo01","jazz"
"55","humphja01","jazz"
"56","austiis01","jazz"
"57","russebr01","jazz"
"58","morrich01","jazz"
"59","eisleho01","jazz"
"60","vaughja01","jazz"
"61","caldwad01","rockets"
"62","woodsmi01","rockets"
"63","mccorti01","rockets"
"64","woodda01","rockets"
"65","jamerda01","rockets"
"66","horryro01","rockets"
"67","rollitr01","rockets"
"68","teaglte01","rockets"
"69","jentch01","rockets"
"70","curetea01","rockets"
"71","tabakza01","rockets"
"72","bryanma01","rockets"
"73","harriot01","rockets"
"74","livinra01","rockets"
"75","threase01","rockets"
"76","rhodero01","rockets"
"77","pippesc01","rockets"
"78","drewbr01","rockets"
"79","moblecu01","rockets"
"80","jackja01","warriors"
"81","landrca01","warriors"
"82","jefferi01","warriors"
"83","barbole01","warriors"
"84","livinsh01","warriors"
"85","clarkia01","warriors"
"86","duranke01","warriors"
"87","mccawpa01","warriors"
"88","jamesle01","caveliers"
"89","parkean01","caveliers"
"90","ilgauzy01","caveliers"
"91","moonja01","caveliers"
"92","millemi01","caveliers"
"93","harrijo01","caveliers"
"94","perkike01","caveliers"
"95","fryech01","caveliers"
"96","mcraejo01","caveliers"
"97","jonesda02","caveliers"
"98","willide02","caveliers"
"99","willide01","caveliers"
"100","greenje02","caveliers"
"101","nancela02","caveliers"
"102","richaqu01","heat"
"103","boshch01","heat"
"104","howarju01","heat"
"105","millemi01","heat"
"106","coleno01","heat"
"107","harrite01","heat"
"108","pittmde01","heat"
"109","allenra02","heat"
"110","odengr01","heat"
"111","douglto01","heat"
"112","denglu01","heat"
"113","winslju01","heat"
"114","mcrobjo01","heat"
"115","johnsja01","heat"
"116","olynyke01","heat"
"117","babbilu01","heat"
"118","kupchmi01","lakers"
"119","nevitch01","lakers"
"120","gudmupe01","lakers"
"121","thompbi01","lakers"
"122","smrekmi01","lakers"
"123","thompmy01","lakers"
"124","wagnemi01","lakers"
"125","campbto01","lakers"
"126","woolror01","lakers"
"127","lampje01","lakers"
"128","mcnamma01","lakers"
"129","harpero01","lakers"
"130","sallejo01","lakers"
"131","luety01","lakers"
"132","fostegr01","lakers"
"133","richmmi01","lakers"
"134","pargoja01","lakers"
"135","rushka01","lakers"
"136","radmavl01","lakers"
"137","newblir01","lakers"
"138","poweljo01","lakers"
"139","jacksji01","lakers"
"140","evansma01","lakers"
"141","thomais01","pistons"
"142","roundda01","pistons"
"143","tylerte01","pistons"
"144","curetea01","pistons"
"145","jonesma01","pistons"
"146","dantlad01","pistons"
"147","greensi02","pistons"
"148","lewisra01","pistons"
"149","edwarja01","pistons"
"150","russewa01","pistons"
"151","willimi02","pistons"
"152","dembofe01","pistons"
"153","aguirma01","pistons"
"154","millste01","pistons"
"155","vaughlo01","pistons"
"156","montrer01","pistons"
"157","barroda01","pistons"
"158","alexavi01","pistons"
"159","jonesda01","pistons"
"160","milicda01","pistons"
"161","hamda01","pistons"
"162","arroyca01","pistons"
"163","evansma01","pistons"
"164","catoke01","pistons"
"165","mohamna01","pistons"
"166","maxieja01","pistons"
"167","stuckro01","pistons"
"168","daniean01","spurs"
"169","dialde01","spurs"
"170","kerrst01","spurs"
"171","jacksst02","spurs"
"172","hartja01","spurs"
"173","wardch01","spurs"
"174","masseto01","spurs"
"175","mohamna01","spurs"
"176","stoudda01","spurs"
"177","templga01","spurs"
"178","anderja01","spurs"
"179","pendeje02","spurs"
"180","simmojo02","spurs"
"181","millean02","spurs"
"182","murrade01","spurs"
"183","anthojo01","spurs"
"184","lauvejo01","spurs"
"185","paulbr01","spurs"
"186","whitede01","spurs"
"187","derozde01","spurs"
"188","poeltja01","spurs"
"189","cunnida01","spurs"
"190","motiedo01","spurs"
