player,min,VORP,id,opp_id,season_id,win,year,adj_VORP,avg_VORP,link
willigu01,43,-4.7,198504170PHI-WSB,198504170PHI-PHI,WSB-1985,0,1985,-202.1,53.6,willigu01-1985
robincl01,39,3.7,198504170PHI-WSB,198504170PHI-PHI,WSB-1985,0,1985,144.3,53.6,robincl01-1985
rulanje01,37,9.1,198504170PHI-WSB,198504170PHI-PHI,WSB-1985,0,1985,336.7,53.6,rulanje01-1985
jonesch01,36,1.8,198504170PHI-WSB,198504170PHI-PHI,WSB-1985,0,1985,64.8,53.6,jonesch01-1985
bradldu01,31,5,198504170PHI-WSB,198504170PHI-PHI,WSB-1985,0,1985,155,53.6,bradldu01-1985
malonje01,16,-1.2,198504170PHI-WSB,198504170PHI-PHI,WSB-1985,0,1985,-19.2,53.6,malonje01-1985
dayeda01,15,1.9,198504170PHI-WSB,198504170PHI-PHI,WSB-1985,0,1985,28.5,53.6,dayeda01-1985
ballagr01,14,0.1,198504170PHI-WSB,198504170PHI-PHI,WSB-1985,0,1985,1.4000000000000001,53.6,ballagr01-1985
mahorri01,9,-3,198504170PHI-WSB,198504170PHI-PHI,WSB-1985,0,1985,-27,53.6,mahorri01-1985
baglejo01,42,5,198504180BOS-CLE,198504180BOS-BOS,CLE-1985,0,1985,210,33.74545454545454,baglejo01-1985
hinsoro01,35,4.7,198504180BOS-CLE,198504180BOS-BOS,CLE-1985,0,1985,164.5,33.74545454545454,hinsoro01-1985
freewo01,33,-2,198504180BOS-CLE,198504180BOS-BOS,CLE-1985,0,1985,-66,33.74545454545454,freewo01-1985
hubbaph01,24,-4.2,198504180BOS-CLE,198504180BOS-BOS,CLE-1985,0,1985,-100.80000000000001,33.74545454545454,hubbaph01-1985
poquebe01,23,1,198504180BOS-CLE,198504180BOS-BOS,CLE-1985,0,1985,23,33.74545454545454,poquebe01-1985
sheltlo01,23,0.9,198504180BOS-CLE,198504180BOS-BOS,CLE-1985,0,1985,20.7,33.74545454545454,sheltlo01-1985
davisjo01,18,5.8,198504180BOS-CLE,198504180BOS-BOS,CLE-1985,0,1985,104.39999999999999,33.74545454545454,davisjo01-1985
westma01,17,0.4,198504180BOS-CLE,198504180BOS-BOS,CLE-1985,0,1985,6.800000000000001,33.74545454545454,westma01-1985
jonesed01,11,2.5,198504180BOS-CLE,198504180BOS-BOS,CLE-1985,0,1985,27.5,33.74545454545454,jonesed01-1985
turpime01,11,-1.5,198504180BOS-CLE,198504180BOS-BOS,CLE-1985,0,1985,-16.5,33.74545454545454,turpime01-1985
willike01,3,-0.8,198504180BOS-CLE,198504180BOS-BOS,CLE-1985,0,1985,-2.4000000000000004,33.74545454545454,willike01-1985
drexlcl01,48,4.1,198504180DAL-POR,198504180DAL-DAL,POR-1985,0,1985,196.79999999999998,45.8,drexlcl01-1985
valenda01,46,5.5,198504180DAL-POR,198504180DAL-DAL,POR-1985,0,1985,253,45.8,valenda01-1985
vandeki01,44,-0.1,198504180DAL-POR,198504180DAL-DAL,POR-1985,0,1985,-4.4,45.8,vandeki01-1985
thompmy01,43,-2.5,198504180DAL-POR,198504180DAL-DAL,POR-1985,0,1985,-107.5,45.8,thompmy01-1985
bowiesa01,42,0.9,198504180DAL-POR,198504180DAL-DAL,POR-1985,0,1985,37.800000000000004,45.8,bowiesa01-1985
carrke01,33,-3.1,198504180DAL-POR,198504180DAL-DAL,POR-1985,0,1985,-102.3,45.8,carrke01-1985
paxsoji02,22,6.8,198504180DAL-POR,198504180DAL-DAL,POR-1985,0,1985,149.6,45.8,paxsoji02-1985
coltest01,8,-1.5,198504180DAL-POR,198504180DAL-DAL,POR-1985,0,1985,-12,45.8,coltest01-1985
kerseje01,4,0.3,198504180DAL-POR,198504180DAL-DAL,POR-1985,0,1985,1.2,45.8,kerseje01-1985
moorejo01,33,-2.5,198504180DEN-SAS,198504180DEN-DEN,SAS-1985,0,1985,-82.5,-15.233333333333334,moorejo01-1985
gilmoar01,32,-2.9,198504180DEN-SAS,198504180DEN-DEN,SAS-1985,0,1985,-92.8,-15.233333333333334,gilmoar01-1985
mitchmi01,32,1.6,198504180DEN-SAS,198504180DEN-DEN,SAS-1985,0,1985,51.2,-15.233333333333334,mitchmi01-1985
paxsojo01,29,-3.6,198504180DEN-SAS,198504180DEN-DEN,SAS-1985,0,1985,-104.4,-15.233333333333334,paxsojo01-1985
gervige01,24,-3.2,198504180DEN-SAS,198504180DEN-DEN,SAS-1985,0,1985,-76.80000000000001,-15.233333333333334,gervige01-1985
jonesoz01,21,2.7,198504180DEN-SAS,198504180DEN-DEN,SAS-1985,0,1985,56.7,-15.233333333333334,jonesoz01-1985
cookje01,20,3,198504180DEN-SAS,198504180DEN-DEN,SAS-1985,0,1985,60,-15.233333333333334,cookje01-1985
iavarma01,14,2.1,198504180DEN-SAS,198504180DEN-DEN,SAS-1985,0,1985,29.400000000000002,-15.233333333333334,iavarma01-1985
