"","player","team"
"1","nealyed01","bulls"
"2","tucketr01","bulls"
"3","walkeda01","bulls"
"4","kerrst01","bulls"
"5","blounco01","bulls"
"6","sallejo01","bulls"
"7","parisro01","bulls"
"8","burresc01","bulls"
"9","simpkdi01","bulls"
"10","carrml01","celtics"
"11","maxwece01","celtics"
"12","willira01","celtics"
"13","sichtje01","celtics"
"14","vincesa01","celtics"
"15","thirdda01","celtics"
"16","acresma01","celtics"
"17","minnidi01","celtics"
"18","paxsoji02","celtics"
"19","gamblke01","celtics"
"20","kleinjo01","celtics"
"21","pincked01","celtics"
"22","birdsot01","celtics"
"23","anderke01","celtics"
"24","stricer01","celtics"
"25","bremejr01","celtics"
"26","davisri01","celtics"
"27","paytoga01","celtics"
"28","lafrera01","celtics"
"29","allento01","celtics"
"30","reedju01","celtics"
"31","welscji01","celtics"
"32","jonesju01","celtics"
"33","mihmch01","celtics"
"34","stewami01","celtics"
"35","garneke01","celtics"
"36","powele01","celtics"
"37","cassesa01","celtics"
"38","pruitga01","celtics"
"39","walkebi01","celtics"
"40","palmewa01","jazz"
"41","krystla01","jazz"
"42","chambto01","jazz"
"43","bondwa01","jazz"
"44","spencfe01","jazz"
"45","watsoja01","jazz"
"46","fulleto02","jazz"
"47","johnsbu01","rockets"
"48","bowiean01","rockets"
"49","wiggimi01","rockets"
"50","maxweve01","rockets"
"51","garlawi01","rockets"
"52","brownch01","rockets"
"53","recasel01","rockets"
"54","macksa01","rockets"
"55","johnsed03","rockets"
"56","dickemi01","rockets"
"57","roberst01","rockets"
"58","carran01","rockets"
"59","bogutan01","warriors"
"60","biedran01","warriors"
"61","bazemke01","warriors"
"62","holidju01","warriors"
"63","rushbr01","warriors"
"64","varejan01","warriors"
"65","barnema02","warriors"
"66","youngni01","warriors"
"67","belljo01","warriors"
"68","looneke01","warriors"
"69","cookqu01","warriors"
"70","willima01","caveliers"
"71","varejan01","caveliers"
"72","onealsh01","caveliers"
"73","gibsoda01","caveliers"
"74","hicksjj01","caveliers"
"75","westde01","caveliers"
"76","willija04","caveliers"
"77","jamisan01","caveliers"
"78","powele01","caveliers"
"79","dellama01","caveliers"
"80","mariosh01","caveliers"
"81","haywobr01","caveliers"
"82","jonesja02","caveliers"
"83","caldejo01","caveliers"
"84","osmande01","caveliers"
"85","zizican01","caveliers"
"86","hillge01","caveliers"
"87","hoodro01","caveliers"
"88","clarkjo01","caveliers"
"89","beaslmi01","heat"
"90","onealje01","heat"
"91","arroyca01","heat"
"92","wrighdo01","heat"
"93","magloja01","heat"
"94","houseed01","heat"
"95","ilgauzy01","heat"
"96","bibbymi01","heat"
"97","turiaro01","heat"
"98","lewisra02","heat"
"99","dragigo01","heat"
"100","greenge01","heat"
"101","johnsty01","heat"
"102","richajo01","heat"
"103","stoudam01","heat"
"104","johnsjo02","heat"
"105","weberbr01","heat"
"106","ellinwa01","heat"
"107","adebaba01","heat"
"108","mcgruro01","heat"
"109","mcadobo01","lakers"
"110","lestero01","lakers"
"111","greenac01","lakers"
"112","lucasma01","lakers"
"113","brancad01","lakers"
"114","riverda01","lakers"
"115","ricegl01","lakers"
"116","knightr01","lakers"
"117","grantho01","lakers"
"118","hunteli01","lakers"
"119","walkesa01","lakers"
"120","paytoga01","lakers"
"121","malonka01","lakers"
"122","russebr01","lakers"
"123","turiaro01","lakers"
"124","mihmch01","lakers"
"125","karlco01","lakers"
"126","bynuman01","lakers"
"127","brownsh01","lakers"
"128","parkesm01","lakers"
"129","mckieaa01","lakers"
"130","willish01","lakers"
"131","tripuke01","pistons"
"132","steppbr01","pistons"
"133","rodmade01","pistons"
"134","nimphku01","pistons"
"135","hillgr01","pistons"
"136","stackje01","pistons"
"137","willije01","pistons"
"138","buechju01","pistons"
"139","laettch01","pistons"
"140","crottjo01","pistons"
"141","mooremi01","pistons"
"142","willico02","pistons"
"143","rebraze01","pistons"
"144","barryjo01","pistons"
"145","whitero02","pistons"
"146","jamesmi01","pistons"
"147","duprero01","pistons"
"148","delfica01","pistons"
"149","davisda01","pistons"
"150","delkto01","pistons"
"151","murraro01","pistons"
"152","webbech01","pistons"
"153","hayesja01","pistons"
"154","afflaar01","pistons"
"155","johnsam01","pistons"
"156","dixonju01","pistons"
"157","ratlith01","pistons"
"158","mannida01","pistons"
"159","johnsav01","spurs"
"160","eliema01","spurs"
"161","jacksja01","spurs"
"162","portete01","spurs"
"163","kerseje01","spurs"
"164","anderde01","spurs"
"165","scottsh01","spurs"
"166","smithst01","spurs"
"167","parksch02","spurs"
"168","smithch04","spurs"
"169","bryanma01","spurs"
"170","claxtsp01","spurs"
"171","turkohe01","spurs"
"172","udrihbe01","spurs"
"173","robingl01","spurs"
"174","vanexni01","spurs"
"175","elsonfr01","spurs"
"176","thomaku01","spurs"
"177","masonro01","spurs"
"178","goodedr01","spurs"
"179","jefferi01","spurs"
"180","boganke01","spurs"
"181","mahinia01","spurs"
"182","novakst01","spurs"
"183","decolna01","spurs"
"184","josepco01","spurs"
"185","dayeau01","spurs"
"186","westda01","spurs"
"187","marjabo01","spurs"
"188","martike02","spurs"
"189","gasolpa01","spurs"
"190","dedmode01","spurs"
"191","leeda02","spurs"
"192","bertada01","spurs"
"193","gayru01","spurs"
"194","pondequ01","spurs"
"195","walkelo01","spurs"
