"","...1","Visitor/Neutral","Visitor Points","Home/Neutral","Home Points","id","year","win","team","season_id","margin","playoff"
"1",1061,"UTA",125,"DEN",135,"202008170DEN",2020,1,"DEN","DEN-2020",10,TRUE
"2",1062,"BRK",110,"TOR",134,"202008170TOR",2020,1,"TOR","TOR-2020",24,TRUE
"3",1063,"PHI",101,"BOS",109,"202008170BOS",2020,1,"BOS","BOS-2020",8,TRUE
"4",1064,"DAL",110,"LAC",118,"202008170LAC",2020,1,"LAC","LAC-2020",8,TRUE
"5",1065,"ORL",122,"MIL",110,"202008180MIL",2020,0,"MIL","MIL-2020",-12,TRUE
"6",1066,"MIA",113,"IND",101,"202008180IND",2020,0,"IND","IND-2020",-12,TRUE
"7",1067,"OKC",108,"HOU",123,"202008180HOU",2020,1,"HOU","HOU-2020",15,TRUE
"8",1068,"POR",100,"LAL",93,"202008180LAL",2020,0,"LAL","LAL-2020",-7,TRUE
"9",1069,"BRK",99,"TOR",104,"202008190TOR",2020,1,"TOR","TOR-2020",5,TRUE
"10",1070,"UTA",124,"DEN",105,"202008190DEN",2020,0,"DEN","DEN-2020",-19,TRUE
"11",1071,"PHI",101,"BOS",128,"202008190BOS",2020,1,"BOS","BOS-2020",27,TRUE
"12",1072,"DAL",127,"LAC",114,"202008190LAC",2020,0,"LAC","LAC-2020",-13,TRUE
"13",1073,"MIA",109,"IND",100,"202008200IND",2020,0,"IND","IND-2020",-9,TRUE
"14",1074,"OKC",98,"HOU",111,"202008200HOU",2020,1,"HOU","HOU-2020",13,TRUE
"15",1075,"ORL",96,"MIL",111,"202008200MIL",2020,1,"MIL","MIL-2020",15,TRUE
"16",1076,"POR",88,"LAL",111,"202008200LAL",2020,1,"LAL","LAL-2020",23,TRUE
"17",1077,"TOR",117,"BRK",92,"202008210BRK",2020,0,"BRK","BRK-2020",-25,TRUE
"18",1078,"DEN",87,"UTA",124,"202008210UTA",2020,1,"UTA","UTA-2020",37,TRUE
