player,VORP
lowryky01,1.9523809523809523
vanvlfr01,5.0200000000000005
siakapa01,1.7117647058823529
anunoog01,2.0823529411764707
gasolma01,1.4500000000000002
powelno01,1.588235294117647
ibakase01,2.4526315789473685
daviste02,0.23333333333333342
harremo01,0.7352941176470588
willilo02,1.489655172413793
leonaka01,9.7625
beverpa01,1.6870967741935483
harklma01,NA
shamela01,-0.06756756756756757
greenja01,0.38928571428571423
pattepa01,4.2
zubaciv01,0.6833333333333333
markkla01,NA
lavinza01,3.0250000000000004
cartewe01,NA
porteot01,1.9105263157894736
whiteco01,-1
youngth01,1.1166666666666667
satorto01,NA
dunnkr01,0.9666666666666667
arcidry01,NA
kornelu01,0.2727272727272727
turnemy01,2.85
brogdma01,3.85
sabondo01,NA
warretj01,1.3
lambje01,NA
sumneed01,-3.066666666666667
holidju01,2.175
mccontj01,-1.3666666666666667
mcderdo01,-2.275
holidaa01,2.67
leaftj01,0.6666666666666666
vucevni01,5.84
aminual01,NA
gordoaa01,-0.6666666666666666
fournev01,-0.15000000000000002
augusdj01,1.0400000000000003
isaacjo01,NA
fultzma01,-1.1800000000000002
rosste01,0.86
cartemi01,NA
bambamo01,NA
princta02,0.25999999999999995
harrijo01,-0.5428571428571429
irvinky01,4.153846153846154
leverca01,3.325
allenja01,1.3250000000000002
dinwisp01,1.9388888888888889
templga01,-2.34
jordade01,0.6333333333333333
nwabada01,NA
kurucro01,-0.725
winslju01,0.8
herroty01,0.8524999999999999
nunnke01,-0.7999999999999999
dragigo01,1.568
adebaba01,3.7878048780487803
robindu01,1.5078947368421052
olynyke01,1.2941176470588236
leoname01,1.7333333333333334
jonesde02,0.1909090909090909
silvach01,NA
maconda01,NA
okpalkz01,-0.8
harrito02,3.414285714285714
simmobe01,4.408333333333333
richajo01,0.0181818181818182
horfoal01,5.103703703703704
embiijo01,4.444
thybuma01,1.136
korkmfu01,0.16399999999999998
ennisja01,-0.74
scottmi01,-0.08888888888888888
oquinky01,-2.8
miltosh01,0.46785714285714286
netora01,-1.2285714285714284
doncilu01,9.039285714285715
finnedo01,1.9870967741935484
porzikr01,2.82
brunsja01,2.016
klebima01,1.1451612903225807
wrighde01,2.4555555555555557
