"","...1","Visitor/Neutral","Visitor Points","Home/Neutral","Home Points","id","year","win","team","season_id","margin","playoff"
"1",1,"NOP",122,"TOR",130,"201910220TOR",2020,1,"TOR","TOR-2020",8,FALSE
"2",2,"LAL",102,"LAC",112,"201910220LAC",2020,1,"LAC","LAC-2020",10,FALSE
"3",3,"CHI",125,"CHO",126,"201910230CHO",2020,0,"CHI","CHI-2020",-1,FALSE
"4",4,"DET",119,"IND",110,"201910230IND",2020,0,"IND","IND-2020",-9,FALSE
"5",5,"CLE",85,"ORL",94,"201910230ORL",2020,1,"ORL","ORL-2020",9,FALSE
"6",6,"MIN",127,"BRK",126,"201910230BRK",2020,0,"BRK","BRK-2020",-1,FALSE
"7",7,"MEM",101,"MIA",120,"201910230MIA",2020,1,"MIA","MIA-2020",19,FALSE
"8",8,"BOS",93,"PHI",107,"201910230PHI",2020,1,"PHI","PHI-2020",14,FALSE
"9",9,"WAS",100,"DAL",108,"201910230DAL",2020,1,"DAL","DAL-2020",8,FALSE
"10",10,"NYK",111,"SAS",120,"201910230SAS",2020,1,"SAS","SAS-2020",9,FALSE
"11",11,"OKC",95,"UTA",100,"201910230UTA",2020,1,"UTA","UTA-2020",5,FALSE
"12",12,"SAC",95,"PHO",124,"201910230PHO",2020,1,"PHO","PHO-2020",29,FALSE
"13",13,"DEN",108,"POR",100,"201910230POR",2020,0,"POR","POR-2020",-8,FALSE
"14",14,"ATL",117,"DET",100,"201910240DET",2020,0,"DET","DET-2020",-17,FALSE
"15",15,"MIL",117,"HOU",111,"201910240HOU",2020,0,"HOU","HOU-2020",-6,FALSE
"16",16,"LAC",141,"GSW",122,"201910240GSW",2020,0,"GSW","GSW-2020",-19,FALSE
"17",17,"TOR",106,"BOS",112,"201910250BOS",2020,1,"BOS","BOS-2020",6,FALSE
"18",18,"MIN",121,"CHO",99,"201910250CHO",2020,1,"MIN","MIN-2020",22,FALSE
"19",19,"NYK",109,"BRK",113,"201910250BRK",2020,1,"BRK","BRK-2020",4,FALSE
"20",20,"CHI",110,"MEM",102,"201910250MEM",2020,0,"MEM","MEM-2020",-8,FALSE
"21",21,"DAL",123,"NOP",116,"201910250NOP",2020,0,"NOP","NOP-2020",-7,FALSE
"22",22,"WAS",97,"OKC",85,"201910250OKC",2020,0,"OKC","OKC-2020",-12,FALSE
"23",23,"PHO",107,"DEN",108,"201910250DEN",2020,1,"DEN","DEN-2020",1,FALSE
"24",24,"POR",122,"SAC",112,"201910250SAC",2020,0,"SAC","SAC-2020",-10,FALSE
"25",25,"UTA",86,"LAL",95,"201910250LAL",2020,1,"LAL","LAL-2020",9,FALSE
"26",26,"MIA",131,"MIL",126,"201910260MIL",2020,0,"MIL","MIL-2020",-5,FALSE
"27",27,"PHI",117,"DET",111,"201910260DET",2020,0,"DET","DET-2020",-6,FALSE
"28",28,"ORL",99,"ATL",103,"201910260ATL",2020,1,"ATL","ATL-2020",4,FALSE
"29",29,"BOS",118,"NYK",95,"201910260NYK",2020,0,"NYK","NYK-2020",-23,FALSE
"30",30,"TOR",108,"CHI",84,"201910260CHI",2020,0,"CHI","CHI-2020",-24,FALSE
