Visitor/Neutral,Visitor Points,Home/Neutral,Home Points,id,year,win,team,season_id,margin,playoff
WSB,97,PHI,104,198504170PHI,1985,1,PHI,PHI-1985,7,TRUE
CLE,123,BOS,126,198504180BOS,1985,1,BOS,BOS-1985,3,TRUE
POR,131,DAL,139,198504180DAL,1985,1,DAL,DAL-1985,8,TRUE
SAS,111,DEN,141,198504180DEN,1985,1,DEN,DEN-1985,30,TRUE
NJN,105,DET,125,198504180DET,1985,1,DET,DET-1985,20,TRUE
PHO,114,LAL,142,198504180LAL,1985,1,LAL,LAL-1985,28,TRUE
UTA,115,HOU,101,198504190HOU,1985,0,HOU,HOU-1985,-14,TRUE
CHI,100,MIL,109,198504190MIL,1985,1,MIL,MIL-1985,9,TRUE
CLE,106,BOS,108,198504200BOS,1985,1,BOS,BOS-1985,2,TRUE
POR,124,DAL,121,198504200DAL,1985,0,DAL,DAL-1985,-3,TRUE
SAS,113,DEN,111,198504200DEN,1985,0,DEN,DEN-1985,-2,TRUE
PHO,130,LAL,147,198504200LAL,1985,1,LAL,LAL-1985,17,TRUE
NJN,111,DET,121,198504210DET,1985,1,DET,DET-1985,10,TRUE
UTA,96,HOU,122,198504210HOU,1985,1,HOU,HOU-1985,26,TRUE
CHI,115,MIL,122,198504210MIL,1985,1,MIL,MIL-1985,7,TRUE
WSB,94,PHI,113,198504210PHI,1985,1,PHI,PHI-1985,19,TRUE
BOS,98,CLE,105,198504230CLE,1985,1,CLE,CLE-1985,7,TRUE
LAL,119,PHO,103,198504230PHO,1985,0,PHO,PHO-1985,-16,TRUE
DAL,109,POR,122,198504230POR,1985,1,POR,POR-1985,13,TRUE
DEN,115,SAS,112,198504230SAS,1985,0,SAS,SAS-1985,-3,TRUE
MIL,107,CHI,109,198504240CHI,1985,1,CHI,CHI-1985,2,TRUE
DET,116,NJN,115,198504240NJN,1985,0,NJN,NJN-1985,-1,TRUE
HOU,104,UTA,112,198504240UTA,1985,1,UTA,UTA-1985,8,TRUE
PHI,100,WSB,118,198504240WSB,1985,1,WSB,WSB-1985,18,TRUE
BOS,117,CLE,115,198504250CLE,1985,0,CLE,CLE-1985,-2,TRUE
DAL,113,POR,115,198504250POR,1985,1,POR,POR-1985,2,TRUE
MIL,105,CHI,97,198504260CHI,1985,0,CHI,CHI-1985,-8,TRUE
DEN,111,SAS,116,198504260SAS,1985,1,SAS,SAS-1985,5,TRUE
HOU,96,UTA,94,198504260UTA,1985,0,UTA,UTA-1985,-2,TRUE
PHI,106,WSB,98,198504260WSB,1985,0,WSB,WSB-1985,-8,TRUE
POR,101,LAL,125,198504270LAL,1985,1,LAL,LAL-1985,24,TRUE
DET,99,BOS,133,198504280BOS,1985,1,BOS,BOS-1985,34,TRUE
SAS,99,DEN,126,198504280DEN,1985,1,DEN,DEN-1985,27,TRUE
UTA,104,HOU,97,198504280HOU,1985,0,HOU,HOU-1985,-7,TRUE
PHI,127,MIL,105,198504280MIL,1985,0,MIL,MIL-1985,-22,TRUE
DET,114,BOS,121,198504300BOS,1985,1,BOS,BOS-1985,7,TRUE
UTA,113,DEN,130,198504300DEN,1985,1,DEN,DEN-1985,17,TRUE
POR,118,LAL,134,198504300LAL,1985,1,LAL,LAL-1985,16,TRUE
PHI,112,MIL,108,198504300MIL,1985,0,MIL,MIL-1985,-4,TRUE
BOS,117,DET,125,198505020DET,1985,1,DET,DET-1985,8,TRUE
UTA,123,DEN,131,198505020DEN,1985,1,DEN,DEN-1985,8,TRUE
MIL,104,PHI,109,198505030PHI,1985,1,PHI,PHI-1985,5,TRUE
LAL,130,POR,126,198505030POR,1985,0,POR,POR-1985,-4,TRUE
DEN,123,UTA,131,198505040UTA,1985,1,UTA,UTA-1985,8,TRUE
BOS,99,DET,102,198505050DET,1985,1,DET,DET-1985,3,TRUE
MIL,112,PHI,121,198505050PHI,1985,1,PHI,PHI-1985,9,TRUE
LAL,107,POR,115,198505050POR,1985,1,POR,POR-1985,8,TRUE
DEN,125,UTA,118,198505050UTA,1985,0,UTA,UTA-1985,-7,TRUE
UTA,104,DEN,116,198505070DEN,1985,1,DEN,DEN-1985,12,TRUE
POR,120,LAL,139,198505070LAL,1985,1,LAL,LAL-1985,19,TRUE
DET,123,BOS,130,198505080BOS,1985,1,BOS,BOS-1985,7,TRUE
